City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Luderitz,NA,-26.6481,15.1594,60.85,80,87,9.13,overcast clouds
255,Rocha,UY,-34.4833,-54.3333,51.49,86,12,8.9,few clouds
256,Tomorkeny,HU,46.6172,20.0436,47.16,62,0,5.99,clear sky
257,Daru,PG,-9.0763,143.2092,82.38,76,18,9.46,few clouds
258,Nanortalik,GL,60.1432,-45.2371,35.94,85,11,5.53,few clouds
259,Kadyy,RU,57.787,43.1903,34.59,98,57,5.93,broken clouds
260,Komsomolskiy,UZ,40.4272,71.7189,61.52,82,99,9.22,overcast clouds
261,Bud,US,39.447,-86.1758,64.85,97,100,5.26,overcast clouds
262,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,92,90,20.38,light rain
263,Petinos,GR,41.1,24.9,56.62,63,0,9.6,clear sky
264,Belaya Gora,RU,68.5333,146.4167,33.98,100,100,8.93,overcast clouds
265,Sijunjung,ID,-0.6876,100.9537,76.66,69,89,1.52,overcast clouds
266,Jijiga,ET,9.35,42.8,61.03,85,96,5.86,overcast clouds
267,Yulara,AU,-25.2406,130.9889,61.75,50,100,12.17,overcast clouds
268,Ponce,PR,18.073,-66.6185,80.06,82,97,2.95,overcast clouds
269,San Isidro,PE,-12.1167,-77.05,60.39,88,0,6.91,clear sky
270,Teahupoo,PF,-17.8333,-149.2667,78.76,76,63,12.73,broken clouds
271,Cherskiy,RU,68.75,161.3,44.44,81,99,5.95,overcast clouds
272,Valparaiso,CL,-33.0393,-71.6273,55.04,82,100,3.44,overcast clouds
273,Tilichiki,RU,60.4667,166.1,35.44,82,100,5.32,overcast clouds
274,Saint Anthony,US,45.0205,-93.218,69.69,63,75,10.36,broken clouds
275,Coruripe,BR,-10.1256,-36.1756,77.02,87,8,12.01,clear sky
276,Siavonga,ZM,-16.5382,28.7088,64.17,62,10,3.36,clear sky
277,Prince Rupert,CA,54.3161,-130.3201,44.69,93,100,4.61,light rain
278,Yerbogachen,RU,61.2767,108.0108,55.35,66,54,16.4,light rain
279,That Phanom,TH,16.9364,104.7104,80.71,70,99,6.08,overcast clouds
280,Abu Kamal,SY,34.4506,40.9171,75.79,26,0,5.97,clear sky
281,Buenos Aires,AR,-34.6132,-58.3772,51.94,72,1,2.3,clear sky
282,Pinega,RU,64.7001,43.3936,31.39,94,72,3.56,broken clouds
283,Kalmar,SE,56.6616,16.3616,49.96,81,100,1.99,overcast clouds
